userId,movieId,tag,timestamp
14,110,epic,1443148538
14,110,Medieval,1443148532
14,260,sci-fi,1442169410
14,260,space action,1442169421
14,318,imdb top 250,1442615195
14,318,justice,1442615192
14,480,Dinosaurs,1443148563
14,593,psychothriller,1444014286
14,1682,philosophy,1442615158
14,1682,surveillance,1442615167
14,7458,Epic,1443148675
14,95311,Pixar,1443148494
14,117529,dinosaurs,1443148646
27,260,classic sci-fi,1440448113
27,260,Harrison Ford,1440448123
27,260,must see,1440448132
27,260,sci-fi,1440448094
42,37733,disappointing,1264106059
42,37733,overrated,1264106052
42,37733,stupid,1264106067
56,141,cliche,1381497460
56,2028,disturbing,1274837927
56,2028,history,1274837934
56,2028,Steven Spielberg,1274837939
56,2966,brothers,1301301874
56,2966,David Lynch,1301301878
56,2966,lawn mower,1301301883
56,2966,melodrama,1301301885
56,2966,obstinance,1301301890
56,4873,metaphysics,1300693593
56,4873,no narrative,1300693602
56,8950,Christian Bale,1300694695
56,8950,imaginary friend,1300694726
56,8950,Overrated,1300694702
56,8950,post-traumatic stress disorder,1300694710
56,57637,black comedy,1354611261
56,57637,love story,1354611279
56,57637,post-apocalyptic,1354611302
56,69784,Sacha Baron Cohen,1298456919
56,69784,Suprises around every corner,1298456921
56,72731,too long,1288481131
56,79702,Kieran Culkin,1282082608
56,79702,Mary Elizabeth Winstead,1282082614
56,79702,Michael Cera,1282082629
56,79702,stylized,1282082605
56,79702,video games,1282082620
56,80917,love story,1354483209
56,80917,social commentary,1354483137
56,84880,British accents,1324483431
56,84880,Jews,1324483406
56,84880,Religion,1324483414
56,88129,atmospheric,1387507924
56,88129,car chase,1387507893
56,88129,cars,1387507898
56,88129,cinematography,1387507922
56,88129,feel-good,1387507903
56,88129,great soundtrack,1387507927
56,88129,neo-noir,1387507919
56,88129,predictable,1387507929
75,608,black comedy,1478382579
75,608,dark comedy,1478382574
75,1089,great dialogue,1478382781
75,1089,humorous,1478382746
75,1089,stylized,1478382743
75,1089,thriller,1478382766
75,3785,parody,1478382042
75,3785,stupid,1478382047
75,4011,comedy,1478382013
75,4011,Crime,1478381994
75,4011,cynical,1478382018
75,4011,Great dialogue,1478382009
75,4011,guy ritchie,1478381991
75,4011,Hilarious,1478381999
75,4022,isolation,1514325958
75,4022,loneliness,1514325939
75,4022,man vs. nature,1514325934
75,4022,psychological,1514325936
75,4022,stranded,1514325949
75,4022,SURVIVAL,1514325927
75,4370,dystopia,1478382099
75,5445,bad effects,1507437853
75,5445,blury shot,1507437799
75,5445,heavy post-processing,1507437828
75,5989,crime,1478381937
75,5989,intelligent,1478381927
75,5989,Leonardo DiCaprio,1478381921
75,5989,smart,1478381939
75,5989,twists & turns,1478381925
75,6502,post-apocalyptic,1478382110
75,6502,sci-fi,1478382117
75,6502,survival,1478382114
75,8636,superhero,1478381532
75,8644,artificial intelligence,1478382700
75,8644,dystopia,1478382709
75,8644,sci-fi,1478382703
75,32587,stylized,1478382228
75,33679,espionage,1478382077
75,33679,spies,1478382073
75,40815,plot holes,1478381905
75,48516,atmospheric,1478382601
75,48516,complicated plot,1478382628
75,48516,gangsters,1478382603
75,48516,psychology,1478382610
75,48516,undercover cop,1478382618
75,48780,atmospheric,1478381965
75,48780,Christian Bale,1478381960
75,48780,complicated,1478381971
75,48780,mystery,1478381973
75,48780,nonlinear,1478381963
75,48780,psychological,1478381975
75,48780,twist ending,1478381957
75,56174,dystopia,1478381863
75,56174,loneliness,1478381876
75,56174,post-apocalyptic,1478381868
75,56174,sci-fi,1478381866
75,56174,survival,1478381873
75,60069,Animation,1478382417
75,60069,beautiful scenery,1478382438
75,60069,cute,1478382434
75,60069,dystopia,1478382414
75,60069,emotional,1478382431
75,60069,inspirational,1478382429
75,60069,social commentary,1478382422
75,64497,aliens,1478381553
75,64497,Annoying Child,1478381560
75,64497,first contact,1478381585
75,64497,Jaden Smith,1478381801
75,64497,Keanu Reeves,1478381568
75,70286,aliens,1478382647
75,70286,fake documentary,1478382662
75,70286,intelligent,1478382650
75,70286,intelligent sci-fi,1478382645
75,70286,social commentary,1478382642
75,72998,beautiful scenery,1478382200
75,72998,environmental,1478382209
75,72998,futuristic,1478382213
75,72998,graphic design,1478382203
75,72998,sci-fi,1478382198
75,72998,visually stunning,1478382206
75,74458,atmospheric,1478382842
75,74458,insanity,1478382822
75,74458,intense,1478382846
75,74458,mindfuck,1478382834
75,74458,plot twist,1478382824
75,74458,psychological,1478382818
75,74458,thought-provoking,1478382827
75,74458,twist ending,1478382838
75,79132,alternate reality,1478383151
75,79132,complicated,1478383164
75,79132,intellectual,1478383161
75,79132,philosophy,1478383171
75,79132,psychological,1478383169
75,79132,surreal,1478383157
75,79132,thought-provoking,1478383154
75,79132,twist ending,1478383166
75,79132,visually appealing,1478383155
75,92259,emotional,1478382684
75,92259,inspirational,1478382686
75,95441,pointless,1478382272
75,95441,predictable,1478382268
75,95441,stupid,1478382286
75,102880,bad acting,1478381618
75,102880,Jaden Smith,1478381606
75,106920,awful sex scene,1514325762
75,106920,boring,1514325650
75,106920,cynical,1514325729
75,106920,love,1514325654
75,106920,masterbation,1514325689
75,106920,mustache,1514325644
75,106920,predictable,1514325637
75,106920,pretentious,1514325717
75,106920,unrealistic,1514325678
75,109487,bad dialogue,1478382353
75,109487,bad science,1478382362
75,109487,cliché finale,1478382394
75,109487,far too long,1478382372
75,109487,plot holes,1478382350
75,109487,wasted potential,1478382360
75,112183,alter ego,1478382332
75,112183,great performances,1478382323
75,112183,psychological,1478382320
75,112183,satire,1478382325
75,112183,single shot,1478382336
75,112556,mindfuck,1478383195
75,112556,Psychopathy,1478383197
75,112556,thriller,1478383233
75,112556,unpredictable,1478383193
75,113573,dark humor,1514326089
75,113573,film noir,1514326094
75,113573,stylized,1514326077
75,113573,violence,1514326084
75,115008,Depression,1478381833
75,115008,Psycologic desease,1478381848
75,115149,Keanu Reeves,1478381449
75,115149,stylish,1478381458
75,122882,beautiful,1478383061
75,122882,believable,1478383136
75,122882,dystopian,1478382882
75,122882,non-stop,1478382886
75,122882,post apocalypse,1478382878
